epoch,loss,val_loss,iou_score,val_iou_score
1,,1,,
2,,0.7788,,
3,,0.6682,,
4,,0.7438,,
5,,0.7468,,
6,,0.7433,,
7,,0.7207,,
8,,0.7491,,
9,,0.7456,,
10,,0.7231,,
11,,0.7603,,
12,,0.7414,,
13,,0.7514,,
14,,0.6549,,
15,,0.6911,,
16,,0.5967,,
17,,0.5727,,
18,,0.5386,,
19,,0.5499,,
20,,0.5259,,
21,,0.5275,,
22,,0.4517,,
23,,0.4551,,
24,,0.4474,,
25,,0.4333,,
26,,0.461,,
27,,0.4187,,
28,,0.4132,,
29,,0.4037,,
30,,0.401,,
31,,0.3992,,
32,,0.3844,,
33,,0.3983,,
34,,0.3789,,
35,,0.3774,,
36,,0.3703,,
37,,0.3800,,
38,,0.3788,,
39,,0.3607,,
40,,0.3513,,
41,,0.3835,,
42,,0.3514,,
43,,0.3573,,
44,,0.347,,
45,,0.3372,,
46,,0.3537,,
47,,0.3272,,
48,,0.3781,,
49,,0.34,,
50,,0.3338,,
51,,0.3288,,
52,,0.3333,,
53,,0.3364,,
54,,0.3254,,
55,,0.3117,,
56,,0.3191,,
57,,0.3597,,
58,,0.3197,,
59,,0.312,,
60,,0.3091,,
61,,0.3101,,
62,,0.3138,,
63,,0.3211,,
64,,0.3096,,
65,,0.3008,,
66,,0.3129,,
67,,0.3233,,
68,0.2261,0.3011,0.6514,0.5587
69,0.1924,0.3136,0.6862,0.5493
70,0.198,0.3151,0.6798,0.5437
71,0.192,0.3048,0.6859,0.5576
72,0.1858,0.3012,0.6943,0.5606
73,0.1851,0.2912,0.696,0.5709
74,0.1842,0.2993,0.6971,0.563
75,0.1888,0.3126,0.6916,0.5485
76,0.1792,0.3056,0.7072,0.557
77,0.1714,0.293,0.7136,0.5688
78,0.202,0.2925,0.6842,0.5746
79,0.212,0.2874,0.6729,0.5763
80,0.1723,0.2831,0.7131,0.5815
81,0.1701,0.3038,0.717,0.5611
82,0.1744,0.2876,0.7103,0.5759
83,0.1632,0.2865,0.7259,0.5768
84,0.1669,0.2803,0.7207,0.5828
85,0.1686,0.2777,0.719,0.5858
86,0.1599,0.2847,0.7309,0.5805
87,0.1577,0.2836,0.733,0.5821
88,0.1542,0.2784,0.7379,0.5878
89,0.1542,0.271,0.7401,0.5965
90,0.1577,0.2836,0.733,0.5821
91,0.1542,0.2784,0.7379,0.5878
92,0.1542,0.271,0.7401,0.5965
93,0.1577,0.2851,0.7361,0.5805
94,0.1569,0.2681,0.7366,0.5997
95,0.1484,0.2755,0.7482,0.5912
96,0.1501,0.2815,0.7455,0.5853
97,0.1501,0.2729,0.7464,0.5947
98,0.144,0.2774,0.7532,0.5888
99,0.1504,0.2804,0.7463,0.589
100,0.1423,0.2727,0.7561,0.5968
101,0.1436,0.2833,0.7541,0.5862
102,0.1434,0.2678,0.7552,0.6007
103,0.1472,0.2719,0.75,0.595
104,0.137,0.2671,0.7649,0.5992
105,0.1466,0.2645,0.7516,0.604
106,0.1441,0.2772,0.7553,0.5905
107,0.1414,0.2694,0.7557,0.6165
108,0.1403,0.2556,0.7576,0.6274
109,0.1397,0.2661,0.7589,0.6259
110,0.1387,0.2649,0.7599,0.6243
111,0.139,0.2564,0.7606,0.6313
112,0.1357,0.2242,0.7644,0.6639
113,0.1342,0.2791,0.7668,0.6131
114,0.1366,0.2519,0.764,0.6394
